studentID,courseName,optionName
B11901099,十選二實驗,生醫工程
B10901069,十選二實驗,生醫工程
B11901066,十選二實驗,生醫工程
B10502070,十選二實驗,生醫工程
B11901194,十選二實驗,生醫工程
B11901087,十選二實驗,生醫工程
B10901064,十選二實驗,生醫工程
B11901178,十選二實驗,生醫工程
B10901177,十選二實驗,生醫工程
B08901089,十選二實驗,生醫工程
B11901076,十選二實驗,生醫工程
B10901085,十選二實驗,生醫工程
B11901176,十選二實驗,生醫工程
B11901106,十選二實驗,生醫工程
B10901029,十選二實驗,生醫工程
B10901168,十選二實驗,生醫工程
B11901083,十選二實驗,生醫工程
B10901042,十選二實驗,光電
B09901092,十選二實驗,光電
B10901105,十選二實驗,光電
B10901149,十選二實驗,光電
B10901128,十選二實驗,光電
B10901004,十選二實驗,光電
B10901018,十選二實驗,光電
B10202013,十選二實驗,光電
B10901169,十選二實驗,光電
B10507020,十選二實驗,光電
B11901086,十選二實驗,光電
B10202021,十選二實驗,光電
B10202032,十選二實驗,光電
B10901180,十選二實驗,光電
B09901096,十選二實驗,光電
B10901086,十選二實驗,光電
B10502076,十選二實驗,光電
B11901023,十選二實驗,光電
B11901190,十選二實驗,光電
B11507056,十選二實驗,光電
B10901064,十選二實驗,光電
B10901104,十選二實驗,光電
B11901123,十選二實驗,光電
B10901049,十選二實驗,光電
